port1,port2,port3,port4,port5
11432.0,11432.0,11912.0,11272.0,11552.0
760.0,480.0,760.0,760.0,480.0
480.0,760.0,480.0,480.0,480.0
980.0,980.0,1220.0,1220.0,1500.0
480.0,480.0,480.0,480.0,480.0
480.0,480.0,480.0,480.0,480.0
720.0,480.0,480.0,480.0,480.0
480.0,998640.0,480.0,480.0,480.0
480.0,3084960.0,720.0,760.0,720.0
760.0,3084960.0,760.0,720.0,480.0
480.0,4082880.0,480.0,480.0,480.0
1220.0,10355396.0,980.0,980.0,980.0
480.0,11310520.0,480.0,480.0,760.0
480.0,12308160.0,720.0,720.0,720.0
480.0,17757408.0,480.0,480.0,480.0
480.0,18585984.0,480.0,480.0,480.0
720.0,18525744.0,480.0,480.0,480.0
480.0,18483168.0,720.0,480.0,480.0
480.0,18513408.0,480.0,720.0,720.0
480.0,18555744.0,480.0,480.0,480.0
720.0,18513408.0,480.0,480.0,480.0
480.0,18507600.0,480.0,480.0,480.0
480.0,18471072.0,720.0,480.0,480.0
480.0,17553504.0,480.0,720.0,6768.0
760.0,15428928.0,760.0,760.0,480.0
720.0,15453120.0,480.0,480.0,480.0
480.0,15417072.0,480.0,480.0,480.0
980.0,11168356.0,7268.0,980.0,1220.0
480.0,10318368.0,480.0,720.0,480.0
480.0,10276032.0,480.0,480.0,480.0
720.0,6915832.0,480.0,480.0,6808.0
480.0,6169720.0,480.0,480.0,480.0
480.0,4112000.0,720.0,480.0,6768.0
480.0,3097056.0,480.0,720.0,480.0
480.0,2050152.0,480.0,6528.0,480.0
720.0,480.0,480.0,480.0,480.0
480.0,720.0,480.0,278688.0,480.0
480.0,480.0,720.0,950016.0,720.0
480.0,480.0,480.0,944208.0,480.0
480.0,480.0,480.0,950016.0,480.0
720.0,720.0,480.0,950016.0,480.0
480.0,480.0,480.0,950016.0,480.0
480.0,480.0,720.0,950256.0,720.0
480.0,480.0,480.0,943968.0,480.0
480.0,480.0,480.0,950016.0,480.0
720.0,720.0,480.0,950016.0,480.0
480.0,480.0,720.0,1252416.0,480.0
480.0,480.0,480.0,1978416.0,720.0
480.0,480.0,480.0,1966080.0,480.0
720.0,480.0,480.0,1990272.0,480.0
480.0,720.0,480.0,1972128.0,480.0
480.0,480.0,272880.0,1978176.0,720.0
760.0,480.0,986584.0,2063368.0,480.0
480.0,480.0,907680.0,1899552.0,480.0
720.0,720.0,950016.0,1978176.0,480.0
480.0,480.0,950016.0,1972128.0,480.0
