port1,port2
10952,10952
480,480
720,480
760,1000
980,980
480,480
480,480
480,480
720,480
480,720
480,480
480,480
1220,980
760,760
480,720
480,480
480,480
720,480
480,720
480,480
480,480
480,480
720,480
480,720
480,480
480,480
720,480
480,480
980,1220
480,480
760,480
720,760
480,720
480,480
480,480
480,480
720,480
480,720
480,480
480,480
480,480
720,480
480,720
480,480
480,480
720,480
480,480
480,720
968160,480
3091008,480
4052880,480
6199680,720
6169440,480
7524192,480
12169056,480
14987664,480
12707328,720
12374688,480
12362592,480
12332352,480
12345188,980
12368640,720
12495648,480
12181152,480
12374688,480
12314728,480
11817152,6768
7209696,6528
7197600,480
7197600,480
7215984,760
7191552,720
7203648,6528
7215744,480
3831872,6528
45064,6528
480,720
480,901632
480,1935840
720,1978176
480,1966320
480,1990272
480,1972128
480,1978176
720,1984224
480,1978416
480,3338976
480,5068704
720,5056608
792768,5068704
841152,5068944
847200,5062656
841152,5044512
841392,5080800
847200,5068944
859296,5171520
823008,4953792
1210080,5080800
1682064,5062656
2582976,5068944
3738144,5056608
3750240,5062656
3744192,5074752
3744432,4691008
3756288,1984464
3738144,1972128
3750240,1978176
3744432,4832832
3400144,5081040
2903520,5068704
2891424,5038464
2909568,5080800
2897712,6012192
2897472,6097104
2909568,6090816
2897472,6102912
2891664,6066624
2909568,6108960
2891424,6072912
2915616,6115008
5685600,4256632
6000336,3012384
5981952,3006576
5082528,3012384
3920084,3000788
3937728,3006336
3925872,3006336
5171520,3012624
6998016,2994240
7034304,3018432
7004064,1993600
7034544,1984224
6991968,2891664
7058496,2495584
7004064,2044704
7336944,2153568
6707712,1972128
5217184,2063088
3938008,2056800
3913536,2056800
3931920,2056800
3937728,2057040
6604896,2056800
5784096,2062848
3943776,2068896
3931920,2056800
5092896,2057320
7022208,2056800
7010112,2056800
7016160,2068896
7022448,2056800
5322160,2063088
3937728,1099576
3913536,1022592
3944016,1034688
3919584,1028880
3925632,1028640
3931680,1028640
3943776,1034688
3937968,1028640
3913536,102976
3124576,6528
1913376,6528
720,480
480,480
1258464,720
4119168,480
5050560,480
7197840,480
7215744,720
11298144,480
12308160,480
14848320,480
8727984,480
10282080,480
10306272,720
10269984,480
10306272,480
10251840,480
10342800,480
10372800,720
10130880,480
10312320,480
10269984,480
10324656,480
8984528,6768
6169440,480
6181536,480
6163392,480
6181776,480
6175488,720
6145248,480
6175488,480
4756696,6528
3224064,480
2951904,720
3084960,480
2171112,6528
480,480
278928,480
2601120,720
3072864,480
3103104,480
3079152,480
3091008,480
3097056,720
3084960,248448
3084960,950016
3091248,950016
3084960,944208
3084960,950016
3084960,950016
3097056,950016
3073104,943968
3139392,962352
3048672,1445952
3078912,3000288
3363168,3048672
3877488,2976096
3992160,3048912
3840960,2933760
3925632,3012384
4415520,3006336
5988240,3000288
4405152,3012624
3931680,3012384
3937728,3006336
3931680,3006336
3925872,3006336
3931680,3006576
4125216,3006336
4784448,2505560
4754448,950016
5401344,950256
5606976,1149600
5613024,1899552
5625120,1899552
5607216,2625312
5625120,2927952
5619072,2921664
5613024,2933760
5625360,2414840
5606976,1972368
5625120,2601120
5800512,5068704
6556512,5062656
6086736,5074752
4500192,5056848
4500192,5068704
4512288,5062656
4500432,5068704
4219264,5068704
3484628,5063396
3478080,4505680
3484128,5062656
3647664,5310624
3140600,4832832
2643456,5062896
2625312,5062656
2637408,5068704
2637648,5062656
2631360,5062896
2643456,5074752
2649504,4991288
2613456,1966080
2643456,1978176
2631360,1972368
2631360,1978176
