port1,port2,port3,port4,port5
10952,10952,11312,11312,11312
480,480,480,480,480
720,480,480,760,760
760,760,760,480,480
980,980,1220,980,1220
480,480,480,480,480
480,720,480,720,480
480,480,480,480,480
720,480,480,480,480
480,480,480,480,760
480,720,720,760,720
480,760,480,720,480
1260,980,980,980,980
720,480,760,480,480
480,480,720,480,480
480,720,480,720,720
480,480,480,480,480
720,480,480,480,480
480,480,480,480,480
480,480,720,480,480
480,720,480,720,720
480,480,480,480,480
720,480,480,480,480
480,480,480,480,480
480,720,720,480,720
480,480,480,720,760
480,480,480,760,480
720,760,480,480,480
980,980,1220,980,980
760,720,480,720,720
480,480,480,480,480
720,480,760,480,480
480,480,480,480,480
480,480,720,480,480
480,720,480,720,720
480,480,480,480,480
720,480,480,480,480
480,480,480,480,480
480,480,720,480,720
480,720,480,720,480
480,480,480,480,480
720,480,480,480,480
480,480,480,480,480
480,720,720,720,720
480,480,480,480,480
480,480,480,480,480
720,480,480,480,480
480,480,720,480,480
980256,720,480,720,720
3084960,480,480,480,480
4064976,480,480,480,480
6193632,480,480,480,480
6169440,480,720,480,720
7530240,720,480,720,480
12181152,480,480,480,480
15005808,480,480,480,480
12695232,5733984,480,480,760
12368640,6193872,720,480,720
12362592,6181536,480,720,480
12326304,6169440,480,760,480
12357284,6169940,980,980,980
12362592,6187864,480,480,480
12489600,6248304,720,480,720
12181152,6090816,480,720,480
12387064,6187584,480,480,480
12308400,6157344,480,480,480
11805056,5179296,480,480,6528
7203648,3085200,1000,480,6768
7197600,3084960,480,720,480
7203648,3091008,480,480,480
7222032,3091008,480,480,480
7185504,3084960,480,480,480
7197600,2056440,720,480,6768
7221792,480,480,720,480
3819536,480,480,480,6528
39256,480,480,480,6528
480,480,480,480,480
480,720,901872,720,720
480,480,1929792,480,480
720,480,1984224,480,480
480,480,1966080,480,480
480,480,1984464,480,720
480,720,1966080,720,480
480,480,1978176,480,480
720,480,1990272,480,480
480,480,1972128,480,480
480,720,3333168,480,720
480,480,5074752,720,480
480,480,5062656,480,480
793008,480,5062656,480,480
847200,480,5068944,480,480
841152,720,5056608,720,720
841152,480,5056608,480,480
847440,480,5080800,480,480
841152,480,5068704,480,480
859296,480,5159664,480,720
829056,720,4959840,720,480
1210080,480,5068704,480,480
1688112,480,5062656,480,480
2576928,480,5080800,480,480
3750240,720,5056848,480,720
3738144,480,5068704,720,480
3744192,480,5068704,480,480
3750480,480,4691008,480,480
3744192,480,1990272,480,480
3756288,720,1978416,480,720
3738144,480,1978176,720,480
