port1,port2,port3,port4,port5
11672.0,11672.0,12032.0,11752.0,12032.0
760.0,480.0,480.0,760.0,480.0
480.0,760.0,760.0,980.0,760.0
980.0,1220.0,1220.0,480.0,1220.0
720.0,480.0,480.0,720.0,480.0
480.0,480.0,480.0,480.0,480.0
480.0,480.0,480.0,480.0,480.0
480.0,480.0,720.0,480.0,480.0
760.0,54912.0,240.0,480.0,480.0
480.0,3084960.0,720.0,760.0,720.0
720.0,4669776.0,480.0,1220.0,480.0
980.0,8782956.0,1260.0,480.0,1260.0
480.0,11322336.0,480.0,480.0,480.0
480.0,13433088.0,480.0,480.0,480.0
4905408.0,10524240.0,720.0,480.0,720.0
5165712.0,10360704.0,480.0,720.0,480.0
5129184.0,13336320.0,480.0,480.0,480.0
5141280.0,13366560.0,480.0,480.0,480.0
5147328.0,13378656.0,720.0,480.0,720.0
5147568.0,13384944.0,480.0,720.0,480.0
5141280.0,13366560.0,480.0,480.0,480.0
5147328.0,13390752.0,480.0,480.0,480.0
5159424.0,13396800.0,480.0,480.0,480.0
5135512.0,13348656.0,720.0,480.0,720.0
1454488.0,13301760.0,6528.0,720.0,480.0
480.0,10306272.0,6528.0,760.0,480.0
480.0,10282080.0,480.0,980.0,480.0
980.0,10301004.0,1220.0,480.0,980.0
720.0,10282320.0,480.0,720.0,1000.0
480.0,7644032.0,6808.0,480.0,480.0
480.0,7215744.0,480.0,480.0,480.0
480.0,5074152.0,480.0,6528.0,480.0
480.0,3085200.0,720.0,480.0,720.0
