port_1,port_2,port_3,port_4,port_5
10904.0,10664.0,11384.0,11024.0,11104.0
480.0,720.0,720.0,480.0,480.0
760.0,760.0,480.0,720.0,720.0
480.0,480.0,760.0,760.0,760.0
908.0,908.0,908.0,908.0,908.0
720.0,720.0,480.0,480.0,480.0
480.0,480.0,720.0,480.0,720.0
480.0,480.0,480.0,720.0,480.0
480.0,480.0,480.0,480.0,480.0
1984224.0,480.0,480.0,480.0,1978176.0
2063128.0,760.0,480.0,480.0,2062848.0
3544608.0,480.0,480.0,1482240.0,2056800.0
5141948.0,1148.0,1428.0,3079340.0,2057748.0
5141280.0,480.0,480.0,3091528.0,2056800.0
8104800.0,480.0,2945856.0,3091008.0,2062848.0
9701472.0,480.0,4542528.0,3091008.0,2062848.0
11328624.0,480.0,6175488.0,3091008.0,2056800.0
11310240.0,720.0,6169680.0,3084960.0,2057040.0
13287936.0,480.0,6181536.0,5032656.0,2062848.0
15453120.0,480.0,6181536.0,7221792.0,2062848.0
15428928.0,480.0,6169440.0,7197600.0,2056800.0
15435216.0,720.0,6175488.0,7203648.0,2056800.0
15441024.0,480.0,6175728.0,7209936.0,2057040.0
15380544.0,480.0,6163392.0,7185504.0,2056800.0
15610368.0,760.0,6235968.0,7270176.0,2080992.0
15314296.0,480.0,6121056.0,7149216.0,2038656.0
15411024.0,720.0,6163632.0,7185504.0,2056800.0
15441024.0,480.0,6181536.0,7209936.0,2057040.0
15459596.0,908.0,6181964.0,7216172.0,2063276.0
15434976.0,480.0,6175768.0,7209696.0,2057080.0
12358272.0,6528.0,3129024.0,7185504.0,2056800.0
12326304.0,480.0,3078912.0,7179736.0,2050752.0
10414256.0,6768.0,3097296.0,5267168.0,2068896.0
8231808.0,480.0,3091008.0,3091248.0,2057040.0
8243904.0,480.0,3091008.0,3091008.0,2062848.0
6682920.0,6528.0,3084960.0,1554216.0,2056800.0
5147568.0,480.0,3084960.0,480.0,2056800.0
5159424.0,720.0,3097296.0,480.0,2063088.0
5129184.0,480.0,3078912.0,720.0,2050752.0
5153376.0,480.0,3091008.0,480.0,2062848.0
5137480.0,480.0,3091008.0,480.0,2053000.0
3085200.0,6528.0,3078912.0,480.0,6528.0
553616.0,6768.0,559904.0,480.0,720.0
480.0,480.0,480.0,720.0,480.0
480.0,1609248.0,480.0,480.0,480.0
480.0,2062848.0,480.0,480.0,480.0
720.0,2050992.0,720.0,480.0,480.0
480.0,2062848.0,480.0,720.0,720.0
480.0,2062848.0,480.0,480.0,480.0
480.0,2056800.0,480.0,480.0,480.0
720.0,2722080.0,480.0,480.0,480.0
480.0,2897712.0,720.0,480.0,720.0
480.0,2897472.0,480.0,720.0,480.0
480.0,2909848.0,480.0,480.0,480.0
480.0,2897472.0,480.0,480.0,480.0
720.0,3653712.0,720.0,480.0,480.0
480.0,3840960.0,480.0,720.0,720.0
760.0,3853056.0,480.0,480.0,480.0
480.0,3853056.0,480.0,480.0,480.0
799056.0,3847008.0,480.0,480.0,798816.0
1029068.0,3853724.0,1148.0,908.0,1029308.0
1034688.0,3853056.0,480.0,720.0,1028640.0
1028640.0,3840960.0,480.0,480.0,1028640.0
1028640.0,4506240.0,760.0,480.0,1034688.0
1034928.0,3053320.0,480.0,480.0,1034688.0
1028640.0,2637408.0,720.0,720.0,1029160.0
1028640.0,2637408.0,480.0,480.0,1028640.0
1034688.0,2625312.0,480.0,480.0,1028640.0
2347104.0,2649504.0,480.0,520888.0,1820928.0
4113360.0,2625552.0,720.0,2056800.0,2057040.0
4113120.0,2643456.0,480.0,2057040.0,2062848.0
4113120.0,2879328.0,480.0,2056800.0,2056800.0
4119168.0,3586944.0,480.0,2062848.0,2056800.0
4125456.0,3581136.0,480.0,2056800.0,2056800.0
4113120.0,3574848.0,720.0,2062848.0,2057040.0
4119168.0,3592992.0,480.0,2057040.0,2062848.0
4113120.0,3580896.0,480.0,2056800.0,2056800.0
4113120.0,3574848.0,480.0,2056800.0,2056800.0
4101264.0,3575088.0,720.0,2050752.0,2050752.0
4125216.0,3592992.0,480.0,2063088.0,2069136.0
4125216.0,3586944.0,480.0,2062848.0,2056800.0
