port1,port2,port3,port4,port5
10452.0,10452.0,11172.0,11312.0,10812.0
500.0,500.0,500.0,0.0,500.0
0.0,0.0,0.0,0.0,0.0
0.0,280.0,280.0,280.0,280.0
280.0,0.0,0.0,500.0,0.0
500.0,500.0,500.0,0.0,500.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,1971648.0,0.0,0.0,0.0
0.0,3556504.0,0.0,0.0,0.0
0.0,6955200.0,280.0,0.0,0.0
0.0,11309760.0,0.0,780.0,280.0
780.0,11945300.0,500.0,0.0,500.0
0.0,15416352.0,0.0,0.0,0.0
0.0,15446592.0,0.0,0.0,0.0
0.0,17430336.0,0.0,0.0,0.0
0.0,18525024.0,0.0,0.0,0.0
0.0,18512928.0,0.0,0.0,0.0
0.0,18531072.0,0.0,0.0,0.0
0.0,18525024.0,0.0,0.0,0.0
0.0,18543168.0,0.0,0.0,0.0
0.0,18518976.0,0.0,0.0,0.0
0.0,18518976.0,0.0,0.0,0.0
0.0,16706824.0,6048.0,0.0,0.0
0.0,11384064.0,6048.0,0.0,0.0
0.0,10281880.0,0.0,0.0,0.0
0.0,10293696.0,280.0,0.0,0.0
0.0,10281600.0,0.0,500.0,280.0
500.0,8750836.0,500.0,280.0,6548.0
280.0,7209216.0,0.0,0.0,0.0
0.0,6549384.0,0.0,6048.0,0.0
0.0,3090528.0,0.0,0.0,0.0
