port1,port2,port3
7144.0,7144.0,6984.0
445.3333333333333,445.3333333333333,605.3333333333334
506.6666666666667,506.6666666666667,506.6666666666667
605.3333333333334,605.3333333333334,605.3333333333334
320.0,320.0,320.0
320.0,609152.0,320.0
320.0,1415552.0,320.0
320.0,1407488.0,506.6666666666667
792.0,1516824.0,445.3333333333333
320.0,1746176.0,320.0
160.0,2173568.0,320.0
320.0,2169376.0,320.0
320.0,2173568.0,320.0
320.0,2209856.0,320.0
6370880.0,2173568.0,320.0
10906880.0,2234048.0,320.0
4637925.333333333,2201792.0,4538.666666666667
320.0,2173568.0,320.0
320.0,2173754.6666666665,160.0
605.3333333333334,1968680.0,4637.333333333333
346.6666666666667,1415552.0,320.0
320.0,1415392.0,320.0
320.0,1419584.0,4149248.0
4092800.0,1423616.0,7467584.0
14967104.0,1423616.0,7491776.0
15233216.0,931712.0,7644992.0
6859184.0,421173.3333333333,7649024.0
320.0,320.0,7471616.0
320.0,320.0,7475648.0
4352.0,320.0,5493589.333333333
320.0,320.0,5955584.0
320.0,320.0,10697216.0
160.0,160.0,11443136.0
320.0,320.0,11471360.0
320.0,320.0,11455418.666666666
4352.0,320.0,6848501.333333333
320.0,320.0,939776.0
464000.0,320.0,1641344.0
2141312.0,320.0,1649408.0
2153693.333333333,605.3333333333334,2282717.333333333
2145344.0,506.6666666666667,3798464.0
2149376.0,320.0,3794272.0
2548730.6666666665,320.0,3580016.0
2697568.0,160.0,3024320.0
2697728.0,320.0,3024320.0
3258176.0,320.0,3024320.0
3770240.0,4352.0,1094517.3333333333
3766208.0,528512.0,879296.0
1642149.3333333333,879296.0,883328.0
1641344.0,887360.0,887360.0
1621184.0,11939072.0,879296.0
1641344.0,16079936.0,891392.0
175941.33333333334,16410560.0,911552.0
320.0,16462976.0,52576.0
320.0,16281536.0,855104.0
320.0,10488304.0,883328.0
92896.0,891392.0,895424.0
673664.0,899296.0,895424.0
657536.0,879296.0,879296.0
673664.0,1516352.0,899456.0
669632.0,3076736.0,891392.0
673664.0,7491776.0,899456.0
665600.0,13822016.0,883328.0
665600.0,13934912.0,891392.0
669632.0,13959104.0,895424.0
1338944.0,7391408.0,923488.0
1681664.0,3629120.0,895424.0
1685696.0,3883136.0,899456.0
1673440.0,3846688.0,891392.0
1988096.0,3303333.333333333,895424.0
2342912.0,1754240.0,935930.6666666666
2266304.0,12697088.0,907520.0
2302592.0,17470976.0,1254272.0
1722442.6666666667,16063808.0,1641344.0
1601024.0,15648512.0,722048.0
1657472.0,16140416.0,52736.0
2197760.0,7762672.0,320.0
2572736.0,320.0,320.0
2613056.0,320.0,320.0
2577053.333333333,605.3333333333334,605.3333333333334
2604992.0,320.0,160.0
2445957.333333333,4352.0,320.0
2020352.0,320.0,320.0
12693056.0,506.6666666666667,320.0
12652576.0,320.0,320.0
12410816.0,160.0,320.0
12765632.0,320.0,320.0
11876405.333333334,4352.0,320.0
1585082.6666666667,693824.0,320.0
1580864.0,1197824.0,320.0
1580864.0,1467968.0,320.0
1596992.0,1484096.0,320.0
1552640.0,1439744.0,320.0
1552640.0,1439744.0,320.0
1584896.0,1758272.0,320.0
1576832.0,2024384.0,160.0
1576832.0,2032448.0,320.0
2334848.0,1479344.0,387392.0
2355008.0,1129280.0,560768.0
2342752.0,1117024.0,556736.0
2330816.0,1109120.0,556736.0
2334848.0,1568768.0,556736.0
9620672.0,1895360.0,556736.0
9943232.0,1891328.0,556736.0
9538245.333333334,1899392.0,556736.0
9762224.0,1895360.0,560768.0
8939264.0,1891328.0,556736.0
9120704.0,1927616.0,568832.0
9044096.0,1494405.3333333333,560768.0
8935232.0,685040.0,556736.0
8947328.0,560768.0,556576.0
8939264.0,556736.0,556736.0
9471488.0,556736.0,560768.0
9890656.0,558261.3333333334,556736.0
9882752.0,40480.0,560768.0
9148208.0,320.0,564800.0
4632634.666666667,4352.0,556736.0
1455872.0,320.0,556736.0
942714.6666666666,205952.0,556736.0
899456.0,786560.0,564800.0
891392.0,2270336.0,556736.0
899456.0,2963840.0,493749.3333333333
891392.0,2963840.0,6036224.0
895424.0,2959808.0,7632896.0
891392.0,2963840.0,7624832.0
899456.0,1545034.6666666667,7640800.0
923648.0,806720.0,355136.0
1056704.0,782528.0,320.0
1919552.0,790592.0,320.0
1935680.0,798656.0,320.0
1927456.0,782528.0,320.0
7076480.0,782368.0,320.0
13515584.0,786560.0,320.0
13503488.0,782528.0,320.0
13531712.0,786560.0,320.0
13572032.0,786560.0,320.0
13572032.0,786560.0,320.0
13539776.0,786560.0,320.0
13676864.0,794624.0,320.0
13483328.0,782528.0,320.0
13777664.0,782528.0,641408.0
10039546.666666666,786560.0,669632.0
3467840.0,782528.0,673664.0
3455744.0,782528.0,669472.0
3467840.0,782528.0,669632.0
3467840.0,782528.0,673664.0
3475744.0,545445.3333333334,5870912.0
3467840.0,160.0,15971072.0
2613056.0,4352.0,16037829.333333334
1879232.0,2096960.0,4762730.666666667
1794560.0,7669184.0,320.0
1790528.0,7644992.0,320.0
2395328.0,7661120.0,1000256.0
2613056.0,2366010.6666666665,7761920.0
3483968.0,320.0,13511552.0
4701632.0,320.0,14301824.0
4697600.0,320.0,14273600.0
4770176.0,320.0,14511488.0
4218224.0,320.0,14249408.0
4236450.666666667,605.3333333333334,14229533.333333334
3802496.0,320.0,14309728.0
3794432.0,320.0,14261504.0
3806528.0,320.0,10332149.333333334
3810560.0,320.0,4436272.0
3924261.3333333335,320.0,8384.0
2012288.0,320.0,4352.0
1939712.0,320.0,320.0
1879072.0,160.0,320.0
1891328.0,320.0,320.0
11839797.333333334,4352.0,320.0
1863104.0,506.6666666666667,320.0
155061.33333333334,320.0,4352.0
320.0,320.0,320.0
320.0,320.0,320.0
320.0,320.0,320.0
506.6666666666667,1117184.0,320.0
320.0,2189696.0,320.0
320.0,2183877.333333333,320.0
60800.0,36608.0,320.0
786560.0,766400.0,320.0
786560.0,5411264.0,320.0
786560.0,15954944.0,320.0
806720.0,8956917.333333334,320.0
794624.0,1020416.0,160.0
786560.0,651717.3333333334,320.0
692037.3333333334,4352.0,320.0
160.0,320.0,320.0
320.0,320.0,320.0
320.0,4580512.0,320.0
320.0,10955264.0,320.0
320.0,11003648.0,320.0
927680.0,10963328.0,320.0
1024448.0,3645680.0,320.0
12346304.0,320.0,320.0
17265344.0,320.0,320.0
16463408.0,320.0,4352.0
2564672.0,320.0,320.0
3004160.0,320.0,320.0
3008192.0,6290240.0,320.0
2996096.0,7432821.333333333,320.0
3036416.0,32576.0,2375008.0
2816901.333333333,4352.0,10975424.0
2709824.0,320.0,18559616.0
1822784.0,320.0,19253120.0
1697632.0,320.0,11173424.0
1685696.0,160.0,320.0
2705792.0,320.0,320.0
2701760.0,320.0,320.0
2705792.0,320.0,320.0
2725952.0,320.0,320.0
6653120.0,320.0,320.0
9310208.0,320.0,320.0
9286016.0,320.0,320.0
7500645.333333333,4352.0,320.0
4358912.0,320.0,320.0
10439168.0,320.0,320.0
10451264.0,320.0,871232.0
11230245.333333334,4352.0,911552.0
10708218.666666666,320.0,915424.0
10491584.0,320.0,903488.0
10515776.0,9511808.0,903488.0
11322016.0,15487232.0,907520.0
12056000.0,3180474.6666666665,48704.0
11584256.0,677536.0,320.0
10893690.666666666,681728.0,320.0
11455232.0,681728.0,320.0
20682773.33333333,689792.0,8384.0
12955136.0,1427648.0,320.0
6123114.666666667,1588928.0,4352.0
790592.0,1580864.0,320.0
786560.0,1576832.0,403520.0
786560.0,1576832.0,560768.0
790592.0,2092928.0,564800.0
790592.0,3153344.0,564800.0
790592.0,3161408.0,564800.0
793530.6666666666,3205760.0,572864.0
320.0,3177536.0,572704.0
320.0,3467840.0,568832.0
320.0,4173440.0,564800.0
160.0,10624480.0,580928.0
320.0,19773248.0,564800.0
320.0,20055488.0,576896.0
320.0,7915568.0,580928.0
4352.0,3637642.6666666665,641408.0
320.0,3173504.0,1358384.0
320.0,3153344.0,927680.0
4352.0,3136496.0,903488.0
320.0,2588864.0,5600768.0
320.0,2596928.0,12930944.0
320.0,2596928.0,12951104.0
320.0,2596928.0,12947072.0
8384.0,1634544.0,12894656.0
4352.0,7270016.0,9049973.333333334
320.0,7350656.0,1935520.0
320.0,7931264.0,1915520.0
320.0,8068352.0,1915520.0
10467232.0,8084480.0,2629184.0
11140736.0,8168992.0,4169408.0
5825466.666666667,8080448.0,4241984.0
320.0,8056256.0,4899200.0
320.0,4675253.333333333,4927424.0
320.0,3770240.0,15442880.0
320.0,3669440.0,20458688.0
4352.0,3830720.0,5603706.666666667
320.0,3673472.0,2713856.0
4352.0,2198218.6666666665,2766272.0
685760.0,1472000.0,2959808.0
903488.0,1467968.0,3274304.0
7761920.0,1480064.0,3302528.0
8915072.0,1750208.0,3363008.0
10096448.0,2250176.0,2439680.0
2371136.0,2213888.0,1459904.0
1923584.0,2153408.0,1359104.0
1923584.0,2145344.0,1355072.0
1919552.0,2145344.0,4858720.0
2000192.0,2238080.0,10310304.0
2209856.0,2149376.0,9987424.0
2947712.0,2238080.0,10423040.0
3375104.0,2145344.0,9975488.0
3504128.0,2149376.0,9979520.0
3500096.0,2399360.0,9987584.0
3512032.0,2670149.333333333,10003712.0
3508160.0,1617584.0,9979520.0
3500096.0,1605056.0,9975488.0
3500096.0,2145344.0,9987584.0
3540416.0,2177600.0,9959818.666666666
3504128.0,4858880.0,9423104.0
3508160.0,8782016.0,9439232.0
3629120.0,6598197.333333333,2193728.0
3504128.0,2145344.0,859568.0
3560576.0,2185664.0,1088960.0
3283893.333333333,2867072.0,1472000.0
2596928.0,11556032.0,1472000.0
2613056.0,18523328.0,825786.6666666666
1153472.0,18894730.666666668,705920.0
1020416.0,17765312.0,681728.0
656442.6666666666,17765312.0,681568.0
320.0,17761280.0,681728.0
4352.0,17720960.0,417861.3333333333
320.0,10043578.666666666,451904.0
6725696.0,2334848.0,580928.0
18108032.0,2314688.0,577082.6666666666
14182229.333333334,2274368.0,568832.0
11072192.0,1405280.0,568832.0
11084288.0,677696.0,564800.0
7417013.333333333,681728.0,10245632.0
320.0,3056576.0,14967104.0
320.0,1766336.0,17769344.0
320.0,36608.0,16592000.0
320.0,320.0,18696704.0
320.0,320.0,20273216.0
320.0,320.0,20095808.0
16448.0,320.0,15400128.0
320.0,320.0,568832.0
320.0,320.0,564800.0
320.0,320.0,564800.0
320.0,320.0,568832.0
605.3333333333334,605.3333333333334,565085.3333333334
320.0,320.0,576896.0
320.0,6213632.0,568672.0
320.0,7761920.0,568832.0
320.0,7745792.0,564800.0
160.0,7733536.0,564800.0
320.0,7834496.0,576896.0
320.0,3883568.0,564800.0
320.0,12416.0,14287221.333333334
320.0,320.0,903488.0
320.0,320.0,1367168.0
3403328.0,320.0,1355072.0
6761984.0,320.0,1383296.0
6653120.0,320.0,1367168.0
7016000.0,320.0,1415552.0
10169024.0,320.0,1391360.0
18315189.33333333,320.0,1399424.0
7423232.0,320.0,1399424.0
13886528.0,320.0,1387328.0
12231221.333333334,4352.0,1362976.0
8415104.0,320.0,1375232.0
8495744.0,320.0,1391360.0
10064192.0,320.0,1363136.0
