port1,port2
6984.0,6984.0
605.3333333333334,605.3333333333334
320.0,506.6666666666667
500760.0,320.0
867200.0,274781.3333333333
871232.0,976064.0
867040.0,976064.0
1633280.0,976250.6666666666
2996096.0,980096.0
3000600.0,980221.3333333334
3306560.0,1080896.0
2992064.0,980096.0
2355466.6666666665,980096.0
871232.0,980096.0
867200.0,980096.0
871232.0,980096.0
1101056.0,984128.0
1427488.0,988346.6666666666
1431680.0,992192.0
606930.6666666666,984413.3333333334
544640.0,979936.0
1040576.0,984128.0
1097210.6666666667,988160.0
1097024.0,1145408.0
1092992.0,9523904.0
1092992.0,9527936.0
1101056.0,5662053.333333333
1100896.0,992192.0
1092992.0,984128.0
1524416.0,984128.0
1855040.0,984128.0
1389573.3333333333,3645088.0
1314752.0,9544064.0
1318784.0,3465333.333333333
1415552.0,988160.0
2294528.0,984128.0
2006469.3333333333,1000256.0
1653440.0,984314.6666666666
2084704.0,984128.0
2734301.333333333,984413.3333333334
3149312.0,988160.0
2961333.333333333,1726016.0
2609024.0,2056480.0
2600960.0,2060672.0
2095173.3333333333,2234048.0
1536512.0,3242048.0
1548608.0,3484400.0
1536698.6666666667,3048512.0
2072768.0,3060608.0
2120992.0,3096896.0
2096960.0,3060608.0
2109056.0,3084800.0
2092928.0,3185440.0
2088896.0,3717824.0
2096960.0,2707317.333333333
2084864.0,2637248.0
2096960.0,2645312.0
1940170.6666666667,2649344.0
1540544.0,2633216.0
1980032.0,2645312.0
2096800.0,2645312.0
2100992.0,2653376.0
2092928.0,2645312.0
7088576.0,2649184.0
17212928.0,2721920.0
18124160.0,3766208.0
18108032.0,3778304.0
5114741.333333333,3782336.0
10023872.0,3673472.0
10298048.0,3685568.0
10487552.0,3669440.0
10798016.0,3669440.0
8533989.333333334,3665408.0
1891328.0,1624928.0
2108896.0,3084800.0
2109056.0,7503872.0
1359536.0,7584698.666666667
2923520.0,7507904.0
11967296.0,7511776.0
12023744.0,7556288.0
18297821.33333333,7395725.333333333
8370752.0,1040576.0
1836405.3333333333,1846976.0
1137344.0,2125184.0
1105088.0,2084864.0
1117184.0,2065136.0
1113152.0,1084928.0
1363136.0,1097024.0
9427136.0,1101056.0
10890592.0,1084928.0
10898816.0,3052544.0
10943168.0,3270272.0
13088192.0,3266240.0
13104320.0,3266240.0
10668730.666666666,3274144.0
5058293.333333333,3262208.0
2004410.6666666667,3504128.0
2000192.0,4145216.0
2024384.0,4193600.0
2000192.0,4145216.0
2004224.0,4145216.0
6076544.0,4149248.0
10459328.0,2842592.0
11830208.0,895424.0
11789728.0,891392.0
10114821.333333334,842288.0
9636800.0,12435008.0
9665024.0,15273536.0
6953333.333333333,15717056.0
1800922.6666666667,16531520.0
943808.0,16132352.0
1230080.0,15277568.0
1242176.0,16382336.0
1230080.0,4805850.666666667
1222016.0,1000256.0
1226048.0,1004288.0
1226048.0,1000256.0
1246208.0,1568768.0
1238144.0,1911488.0
1226048.0,3475904.0
1230080.0,4072640.0
1226048.0,3627333.3333333335
724266.6666666666,1899392.0
320.0,1899392.0
160.0,1887296.0
4352.0,1586421.3333333333
320.0,891392.0
320.0,891392.0
320.0,915424.0
320.0,911552.0
113216.0,911552.0
1020416.0,907520.0
1016384.0,903488.0
1532480.0,911552.0
1826816.0,915584.0
1782464.0,891392.0
1826816.0,911552.0
2423552.0,907520.0
2540480.0,923648.0
2463712.0,895424.0
3209792.0,903488.0
3391232.0,10206117.333333334
3496064.0,4187061.3333333335
3426800.0,4352.0
4842752.0,160.0
4838720.0,320.0
4754048.0,320.0
5084672.0,320.0
5471744.0,790592.0
5407232.0,1024448.0
5354816.0,1016384.0
6080576.0,1734080.0
5254821.333333333,1702010.6666666667
4858880.0,1673600.0
12572096.0,1677632.0
13660576.0,1681664.0
12885498.666666666,1681664.0
12233408.0,1677632.0
