port1,port2,port3
6984.0,6984.0,6984.0
605.3333333333334,605.3333333333334,605.3333333333334
506.6666666666667,506.6666666666667,506.6666666666667
500573.3333333333,605.3333333333334,320.0
871232.0,320.0,274781.3333333333
867040.0,160.0,975904.0
867200.0,320.0,976064.0
1637498.6666666667,506.6666666666667,976250.6666666666
2992064.0,320.0,976064.0
3004445.333333333,605.3333333333334,984413.3333333334
3306560.0,320.0,1080896.0
2992064.0,320.0,976064.0
2351434.6666666665,320.0,984128.0
871232.0,320.0,980096.0
871232.0,320.0,980096.0
867040.0,160.0,975904.0
1105088.0,506.6666666666667,988160.0
1431866.6666666667,320.0,1754426.6666666667
1427648.0,320.0,1980032.0
602898.6666666666,605.3333333333334,1964189.3333333333
544640.0,320.0,1963904.0
1044608.0,320.0,1959872.0
1097024.0,320.0,1976000.0
1092992.0,320.0,2117120.0
1097024.0,320.0,10503680.0
1088800.0,320.0,10511744.0
1101056.0,160.0,6661829.333333333
1105088.0,320.0,2790464.0
1088960.0,320.0,2951744.0
1528448.0,320.0,2951744.0
1855040.0,320.0,2951744.0
1389573.3333333333,2633216.0,2971904.0
1310720.0,8560256.0,2959808.0
1318784.0,2497653.333333333,2955776.0
1415552.0,506.6666666666667,2951744.0
2298560.0,320.0,2951744.0
2010341.3333333333,320.0,2992250.6666666665
1649594.6666666667,160.0,2951584.0
2080832.0,4352.0,2286922.6666666665
2734301.333333333,605.3333333333334,1972253.3333333333
3157376.0,320.0,1971968.0
2953269.333333333,730112.0,1980032.0
2609024.0,1072832.0,1976000.0
2609024.0,1072832.0,1971968.0
2095173.3333333333,1076864.0,2145344.0
1536512.0,1274432.0,2023290.6666666667
1540544.0,2064704.0,1420016.0
1540384.0,2060512.0,992192.0
2072768.0,2060672.0,988000.0
2117120.0,2100992.0,1004288.0
2096960.0,2068736.0,996224.0
2113088.0,2084864.0,1000256.0
2096960.0,2068736.0,1117184.0
2088896.0,2060672.0,1645376.0
2088896.0,1066293.3333333333,1649408.0
2088896.0,988160.0,1653440.0
2092928.0,992192.0,1649408.0
1940170.6666666667,988160.0,1653440.0
1544416.0,992032.0,1653280.0
1984064.0,992192.0,1653440.0
2092928.0,992192.0,1653440.0
2096960.0,992192.0,2604992.0
2096960.0,992192.0,2729984.0
7116800.0,1355072.0,2738048.0
17208896.0,1548608.0,2794496.0
18136256.0,1601024.0,2782400.0
18104000.0,1605056.0,2754176.0
5086517.333333333,1605056.0,2742080.0
10035968.0,1560704.0,2673536.0
10294016.0,1560704.0,2681600.0
10491584.0,1556672.0,2665472.0
10798016.0,1556858.6666666667,2669504.0
8513669.333333334,1556512.0,2661280.0
1895360.0,845946.6666666666,1339749.3333333333
2109056.0,2633216.0,1000442.6666666666
2105024.0,7056320.0,996224.0
1363568.0,7136960.0,1016384.0
2943680.0,7060352.0,1000256.0
11959418.666666666,7068416.0,1000256.0
12027776.0,7104704.0,1004288.0
18305885.33333333,6960269.333333333,1008605.3333333334
8354624.0,580928.0,1032512.0
1828341.3333333333,552704.0,1846976.0
1133312.0,568832.0,2125184.0
1109120.0,552704.0,2080832.0
1117184.0,556736.0,2069168.0
1108960.0,556576.0,1088960.0
1371200.0,497781.3333333333,1100896.0
9435200.0,320.0,1097024.0
10890752.0,320.0,1088960.0
10898816.0,320.0,3048512.0
10951232.0,320.0,3270272.0
13088192.0,320.0,3262208.0
13104320.0,320.0,3274304.0
10656634.666666666,4352.0,3363008.0
5050229.333333333,4352.0,3814592.0
2004224.0,320.0,4060544.0
2000192.0,320.0,4697600.0
2020352.0,320.0,4758080.0
2004224.0,320.0,4995968.0
2000192.0,320.0,5366912.0
6092512.0,160.0,5374976.0
10455296.0,320.0,4096384.0
11838272.0,320.0,2117120.0
11789888.0,320.0,2117120.0
10110789.333333334,320.0,2176880.0
9632768.0,320.0,14414720.0
9660992.0,320.0,17289536.0
6949301.333333333,4352.0,17789504.0
1796890.6666666667,320.0,18599936.0
943808.0,320.0,18257216.0
1230080.0,320.0,17285504.0
1242176.0,963968.0,17442752.0
1230080.0,1004288.0,5838202.666666667
1226048.0,1004288.0,2008256.0
1222016.0,1000256.0,2000192.0
1226048.0,1004288.0,2004224.0
1250240.0,1020416.0,2580800.0
1234112.0,1012352.0,2931584.0
1226048.0,2584832.0,2828277.333333333
1230080.0,3177536.0,2225984.0
1229920.0,2740293.333333333,2230016.0
720234.6666666666,1008160.0,8427040.0
320.0,1012352.0,9192298.666666666
320.0,1000256.0,1447808.0
4352.0,695349.3333333334,1443776.0
320.0,320.0,1447808.0
320.0,320.0,1447808.0
320.0,320.0,1492160.0
320.0,320.0,1480064.0
117248.0,320.0,1484096.0
1020416.0,320.0,1472000.0
1012352.0,320.0,1463936.0
1532480.0,320.0,1484096.0
1826816.0,72896.0,1713920.0
1786496.0,778496.0,2008256.0
1822624.0,1959712.0,2052608.0
2431616.0,3008192.0,2040352.0
2536448.0,3060608.0,2076800.0
2459840.0,2967872.0,2016320.0
3209792.0,2996096.0,2032448.0
3395264.0,12507584.0,1803429.3333333333
3500096.0,7303984.0,1165568.0
3426800.0,3016256.0,894330.6666666666
4838720.0,3020288.0,184005.3333333333
4842752.0,3024320.0,320.0
4754048.0,2959808.0,320.0
5080640.0,3036416.0,320.0
5475776.0,2648250.6666666665,794624.0
5403200.0,794624.0,1024448.0
5366912.0,790592.0,1012352.0
6076544.0,814784.0,2084864.0
5246597.333333333,126837.33333333331,2609210.6666666665
4862912.0,160.0,2564512.0
12584192.0,320.0,2572736.0
13668800.0,320.0,2584832.0
12869370.666666666,320.0,2572736.0
12237626.666666666,320.0,2576768.0
12394688.0,320.0,2617088.0
12253568.0,320.0,2588864.0
12245789.333333334,605.3333333333334,2577053.333333333
12249536.0,320.0,2919488.0
12213248.0,320.0,3471872.0
