,1_port4,1_port1,1_port2,1_port3,2_port1,2_port2,3_port1,3_port2,3_port3,4_port1,4_port2,5_port4,5_port1,5_port2,5_port5,5_port3,6_port1,6_port2,Host_1,Host_2,Host_4,Host_3
0,22584.0,21864.0,21864.0,22584.0,22344.0,21864.0,21864.0,21864.0,21864.0,21864.0,21864.0,22584.0,21864.0,21864.0,22584.0,21864.0,22344.0,21864.0,4112640.0,0.0,0.0,0.0
1,480.0,480.0,960.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,960.0,480.0,480.0,480.0,480.0,480.0,4112640.0,0.0,0.0,0.0
2,1480.0,1480.0,1480.0,1480.0,1480.0,1960.0,480.0,1480.0,480.0,1480.0,960.0,1480.0,1480.0,480.0,1480.0,960.0,480.0,960.0,4136832.0,60480.0,0.0,0.0
3,480.0,960.0,480.0,960.0,480.0,480.0,1480.0,480.0,1480.0,480.0,1480.0,480.0,480.0,1480.0,480.0,1480.0,1480.0,1480.0,4124736.0,5140800.0,0.0,0.0
4,960.0,480.0,480.0,480.0,480.0,480.0,480.0,960.0,960.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,4112640.0,5152896.0,0.0,0.0
5,480.0,480.0,480.0,480.0,480.0,480.0,960.0,480.0,480.0,960.0,480.0,480.0,480.0,480.0,960.0,480.0,480.0,480.0,4112640.0,5140800.0,0.0,0.0
6,1040.0,480.0,480.0,480.0,1040.0,480.0,480.0,480.0,480.0,480.0,480.0,960.0,1040.0,960.0,480.0,480.0,960.0,480.0,4124736.0,5152896.0,0.0,0.0
7,480.0,480.0,1520.0,480.0,960.0,480.0,1040.0,1040.0,1040.0,1040.0,1040.0,1040.0,960.0,1040.0,480.0,1040.0,1040.0,1040.0,1512000.0,7741440.0,0.0,0.0
8,480.0,1040.0,480.0,1040.0,480.0,1040.0,480.0,480.0,480.0,480.0,960.0,480.0,480.0,480.0,1040.0,960.0,480.0,480.0,3084480.0,5152896.0,0.0,0.0
9,1480.0,480.0,1480.0,960.0,480.0,1960.0,480.0,1480.0,480.0,1480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,960.0,5987520.0,9942912.0,0.0,0.0
10,960.0,1960.0,4221984.0,1480.0,1480.0,480.0,1480.0,4209888.0,1960.0,480.0,1480.0,4186696.0,1480.0,1480.0,1480.0,1480.0,1480.0,1480.0,3096576.0,5140800.0,0.0,0.0
11,480.0,480.0,4355040.0,480.0,480.0,480.0,960.0,4343424.0,480.0,480.0,480.0,4342944.0,480.0,480.0,480.0,480.0,480.0,480.0,3096576.0,5140800.0,0.0,0.0
12,480.0,480.0,5020320.0,480.0,480.0,480.0,480.0,4996128.0,480.0,960.0,480.0,4355040.0,480.0,960.0,605760.0,480.0,480.0,480.0,3084480.0,5152896.0,0.0,0.0
13,480.0,480.0,9810336.0,480.0,960.0,480.0,480.0,9822432.0,480.0,480.0,480.0,4367616.0,480.0,480.0,5455776.0,480.0,960.0,480.0,3290112.0,2092608.0,0.0,0.0
14,480.0,480.0,9822912.0,480.0,480.0,480.0,480.0,9822432.0,480.0,480.0,480.0,4367136.0,960.0,480.0,5467872.0,960.0,480.0,480.0,1497744.0,4148928.0,12096.0,0.0
15,480.0,480.0,9822432.0,480.0,480.0,960.0,480.0,9822432.0,480.0,480.0,960.0,4367136.0,480.0,480.0,5455776.0,480.0,480.0,960.0,0.0,4124736.0,0.0,0.0
16,480.0,960.0,9822432.0,960.0,480.0,480.0,480.0,9810336.0,480.0,480.0,480.0,4355040.0,480.0,480.0,5455776.0,480.0,480.0,480.0,0.0,4112640.0,0.0,0.0
17,960.0,480.0,13789920.0,480.0,480.0,480.0,960.0,13778304.0,960.0,480.0,480.0,5262240.0,480.0,480.0,8503968.0,480.0,480.0,480.0,0.0,6168960.0,0.0,0.0
18,480.0,480.0,15265632.0,480.0,480.0,480.0,480.0,15277728.0,480.0,960.0,480.0,5092896.0,480.0,960.0,10185792.0,480.0,480.0,480.0,0.0,4112640.0,0.0,0.0
19,480.0,5431584.0,14141184.0,480.0,960.0,5407392.0,480.0,14152800.0,480.0,480.0,5383760.0,6532800.0,960.0,480.0,12991584.0,480.0,1520.0,480.0,0.0,4124736.0,0.0,0.0
20,1040.0,5479968.0,7681440.0,480.0,480.0,5480448.0,480.0,7681440.0,480.0,480.0,5480448.0,4379232.0,1040.0,480.0,8770080.0,1520.0,480.0,1040.0,0.0,4065632.0,0.0,0.0
21,480.0,5516736.0,7705632.0,960.0,1040.0,5504160.0,1040.0,7705632.0,1040.0,480.0,5504160.0,4403424.0,480.0,1040.0,8806368.0,480.0,480.0,960.0,0.0,12096.0,0.0,12096.0
22,960.0,5479968.0,7681440.0,480.0,480.0,5492064.0,480.0,7682480.0,960.0,480.0,5479968.0,4391328.0,480.0,480.0,8770080.0,480.0,480.0,480.0,0.0,0.0,0.0,0.0
23,1480.0,5504160.0,10693344.0,480.0,480.0,5505160.0,960.0,10669152.0,480.0,1960.0,5504160.0,7342752.0,480.0,480.0,8806368.0,480.0,480.0,480.0,0.0,0.0,0.0,0.0
24,480.0,5517816.0,9616200.0,14136.0,1480.0,5516816.0,13576.0,9639832.0,1480.0,1040.0,5517256.0,8820504.0,13576.0,1960.0,6350760.0,1480.0,1960.0,1480.0,0.0,0.0,0.0,0.0
25,480.0,5516256.0,8831040.0,480.0,960.0,5516256.0,480.0,8818464.0,480.0,480.0,5528352.0,8830560.0,960.0,480.0,5528352.0,480.0,480.0,480.0,0.0,0.0,0.0,0.0
26,480.0,5504160.0,8794272.0,480.0,480.0,5492544.0,480.0,8794272.0,480.0,480.0,5492544.0,8794272.0,480.0,480.0,5492064.0,960.0,480.0,480.0,0.0,0.0,0.0,0.0
27,480.0,5734464.0,9193440.0,960.0,480.0,5746080.0,480.0,9193440.0,480.0,480.0,5746080.0,9193440.0,480.0,480.0,5746080.0,480.0,480.0,960.0,0.0,0.0,0.0,0.0
28,960.0,5516256.0,8806368.0,480.0,480.0,5516256.0,480.0,8818944.0,960.0,480.0,5516256.0,8818464.0,480.0,480.0,5504160.0,480.0,480.0,480.0,0.0,0.0,0.0,0.0
29,480.0,5362464.0,8878944.0,480.0,480.0,5386656.0,960.0,8866848.0,480.0,960.0,5410848.0,8854752.0,480.0,480.0,5447616.0,480.0,480.0,480.0,0.0,0.0,0.0,0.0
30,24672.0,480.0,7743296.0,480.0,12576.0,480.0,12576.0,7779584.0,480.0,12576.0,480.0,7804256.0,12576.0,13056.0,480.0,480.0,960.0,480.0,0.0,0.0,0.0,3919104.0
31,480.0,480.0,2762304.0,12576.0,960.0,480.0,12576.0,2773920.0,480.0,480.0,480.0,2798112.0,13056.0,480.0,480.0,480.0,480.0,480.0,0.0,0.0,0.0,4112640.0
32,480.0,480.0,480.0,480.0,480.0,960.0,480.0,480.0,480.0,480.0,960.0,480.0,480.0,480.0,480.0,960.0,480.0,960.0,0.0,0.0,0.0,4112640.0
33,960.0,960.0,480.0,960.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,0.0,0.0,0.0,4112640.0
34,480.0,480.0,480.0,480.0,480.0,480.0,960.0,960.0,960.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,0.0,0.0,0.0,4112640.0
35,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,960.0,480.0,480.0,480.0,960.0,960.0,480.0,480.0,480.0,0.0,0.0,0.0,4124736.0
36,480.0,480.0,480.0,480.0,960.0,480.0,480.0,480.0,480.0,480.0,480.0,960.0,480.0,480.0,480.0,480.0,960.0,480.0,0.0,0.0,0.0,6168960.0
37,480.0,480.0,960.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,960.0,480.0,480.0,960.0,480.0,480.0,0.0,0.0,0.0,4124736.0
38,480.0,480.0,480.0,480.0,480.0,960.0,480.0,480.0,480.0,480.0,960.0,480.0,480.0,480.0,480.0,480.0,480.0,960.0,0.0,0.0,0.0,9096192.0
39,960.0,960.0,480.0,960.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,0.0,0.0,0.0,7197120.0
40,480.0,480.0,480.0,4246176.0,480.0,480.0,4270848.0,960.0,960.0,480.0,480.0,480.0,4282464.0,480.0,480.0,480.0,480.0,480.0,0.0,0.0,0.0,7209216.0
41,480.0,480.0,480.0,4403424.0,480.0,480.0,4391328.0,480.0,480.0,960.0,480.0,480.0,4403424.0,960.0,960.0,480.0,480.0,480.0,0.0,0.0,0.0,7209216.0
42,1161696.0,480.0,480.0,4403424.0,960.0,480.0,5600928.0,480.0,480.0,480.0,480.0,960.0,5637216.0,480.0,480.0,480.0,960.0,480.0,0.0,0.0,0.0,7197120.0
43,7729824.0,480.0,960.0,4415520.0,480.0,480.0,12169056.0,480.0,480.0,480.0,480.0,480.0,12157440.0,480.0,480.0,960.0,480.0,480.0,0.0,12096.0,0.0,5258480.0
44,7729824.0,480.0,480.0,4415520.0,480.0,960.0,12132768.0,480.0,480.0,480.0,960.0,480.0,12156960.0,480.0,480.0,480.0,480.0,960.0,12096.0,0.0,0.0,0.0
45,7730304.0,960.0,480.0,4416000.0,480.0,480.0,12144864.0,480.0,480.0,480.0,480.0,480.0,12120672.0,480.0,480.0,480.0,1040.0,480.0,0.0,0.0,0.0,0.0
46,7935456.0,480.0,480.0,4536480.0,480.0,480.0,12459840.0,960.0,960.0,480.0,480.0,480.0,12471456.0,480.0,480.0,480.0,480.0,480.0,0.0,0.0,0.0,0.0
47,7862880.0,480.0,480.0,6822624.0,480.0,480.0,14709216.0,480.0,480.0,960.0,1040.0,480.0,14733408.0,960.0,960.0,1040.0,480.0,1040.0,0.0,0.0,0.0,0.0
48,8262608.0,480.0,960.0,9520032.0,7621440.0,480.0,10209504.0,480.0,480.0,7657248.0,480.0,960.0,10174256.0,7705632.0,480.0,480.0,960.0,480.0,0.0,0.0,0.0,0.0
49,7766112.0,480.0,480.0,8903136.0,7778208.0,960.0,8891040.0,480.0,480.0,7790304.0,960.0,480.0,8878944.0,7766112.0,480.0,960.0,480.0,480.0,0.0,0.0,0.0,0.0
50,7827072.0,960.0,480.0,8927808.0,7827152.0,480.0,8939984.0,480.0,480.0,7826592.0,480.0,480.0,8951520.0,7827152.0,480.0,480.0,480.0,960.0,0.0,0.0,0.0,0.0
51,7790304.0,480.0,480.0,8903136.0,7778208.0,480.0,8903616.0,960.0,960.0,7766112.0,480.0,480.0,8891040.0,7790304.0,480.0,480.0,480.0,480.0,0.0,0.0,0.0,0.0
52,7766112.0,480.0,12576.0,8623808.0,7778208.0,480.0,8599616.0,12576.0,1040.0,7766592.0,480.0,12576.0,8587520.0,7766592.0,960.0,480.0,480.0,480.0,0.0,0.0,0.0,0.0
53,2695608.0,12576.0,1480.0,4440712.0,2659800.0,13576.0,4439712.0,1480.0,480.0,2635128.0,12576.0,14056.0,4439712.0,2585744.0,480.0,480.0,960.0,480.0,0.0,0.0,0.0,0.0
54,480.0,1480.0,13056.0,3570176.0,480.0,480.0,3546984.0,13136.0,1480.0,480.0,1480.0,480.0,3523272.0,1480.0,13576.0,1960.0,1480.0,1480.0,0.0,12096.0,0.0,0.0
55,480.0,480.0,480.0,480.0,480.0,960.0,480.0,480.0,480.0,480.0,960.0,480.0,480.0,480.0,480.0,480.0,480.0,960.0,0.0,2370816.0,0.0,0.0
56,960.0,1520.0,1040.0,960.0,480.0,1040.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,0.0,4632768.0,0.0,0.0
57,480.0,480.0,480.0,480.0,480.0,480.0,960.0,960.0,960.0,960.0,480.0,480.0,480.0,480.0,960.0,480.0,480.0,480.0,8346240.0,3604608.0,0.0,0.0
58,480.0,480.0,480.0,1040.0,480.0,480.0,480.0,480.0,480.0,1040.0,480.0,1520.0,480.0,960.0,1040.0,480.0,960.0,480.0,7197120.0,4378752.0,0.0,0.0
