,1_port1,1_port2,1_port3,1_port4,1_port5,2_port1,2_port2,3_port1,3_port2,4_port1,4_port2,5_port1,5_port2,5_port3,5_port4,5_port5
0,10992.0,10992.0,11352.0,12212.0,12212.0,11732,10992,11732,11232,11732,11232,10992,11492,11572,11852,11852
1,980.0,980.0,980.0,480.0,480.0,480,980,480,980,480,740,980,480,480,480,480
2,480.0,480.0,480.0,480.0,480.0,480,720,480,480,480,720,480,480,720,480,480
3,480.0,480.0,480.0,480.0,480.0,480,480,480,480,480,480,720,720,480,720,720
4,480.0,720.0,720.0,480.0,720.0,480,480,480,480,480,480,480,480,480,480,480
5,480.0,480.0,480.0,480.0,480.0,480,480,480,480,480,480,480,480,480,480,480
6,1000.0,480.0,760.0,1000.0,480.0,1000,480,480,760,480,760,480,760,480,480,480
7,480.0,760.0,480.0,480.0,480.0,480,480,720,720,720,480,480,480,480,480,480
8,480.0,480.0,480.0,980.0,980.0,980,1000,980,480,980,720,760,980,1220,980,1500
9,980.0,980.0,980.0,480.0,760.0,480,980,760,980,760,980,1220,720,760,1000,480
10,480.0,720.0,720.0,480.0,720.0,480,480,480,480,480,480,480,480,480,480,480
11,720.0,480.0,480.0,720.0,480.0,720,480,480,720,480,480,480,480,480,480,480
12,480.0,480.0,480.0,480.0,480.0,480,480,720,480,720,720,480,480,480,480,480
13,480.0,480.0,480.0,480.0,480.0,480,720,480,480,480,480,480,720,720,480,720
14,480.0,480.0,720.0,480.0,480.0,480,480,480,480,480,480,720,480,480,720,480
15,720.0,720.0,480.0,720.0,2655792.0,480,480,2661600,480,480,480,2673696,480,480,480,480
16,480.0,480.0,480.0,1101216.0,3097056.0,720,480,4204080,720,480,480,4209888,480,480,480,480
17,480.0,480.0,480.0,3084960.0,3078912.0,480,720,6169440,480,720,720,6169440,480,720,480,480
18,480.0,480.0,480.0,3084960.0,3091008.0,480,480,6175488,480,480,480,6169680,720,480,480,720
19,480.0,480.0,1101456.0,3109152.0,3103344.0,480,480,7318560,480,480,480,7330656,480,480,720,480
20,720.0,720.0,3084960.0,3079152.0,3078912.0,720,480,9241824,480,480,760,9235776,480,480,480,480
21,480.0,480.0,3091288.0,3091008.0,4572768.0,480,480,10766160,1000,720,480,10784064,760,480,480,480
22,760.0,760.0,3097056.0,3103384.0,7227840.0,760,720,13427040,480,480,720,13427040,480,720,480,720
23,480.0,480.0,3078912.0,4863072.0,7179456.0,480,480,15132576,480,480,480,15138864,720,480,720,480
24,720.0,720.0,3091248.0,8250452.0,7137860.0,6677972,980,11842964,480,6696116,480,11824600,6720308,980,980,1260
25,980.0,980.0,3091508.0,8232048.0,7197600.0,7209936,760,11322336,1220,7209696,980,11328884,7203648,480,480,480
26,480.0,480.0,3078912.0,8225760.0,7197600.0,7191552,480,11298664,480,7191792,720,11298144,7191552,480,480,480
27,480.0,480.0,3097056.0,8256000.0,7222072.0,7221792,720,11352576,480,7228120,480,11346528,7221792,1000,760,720
28,480.0,480.0,3085200.0,8213664.0,7191552.0,7191552,480,11298144,480,7185504,480,11298384,7191792,480,720,480
29,720.0,720.0,3084960.0,8225760.0,7197840.0,7197600,480,11304192,480,7197600,480,11310240,7197600,480,480,480
30,480.0,480.0,3084960.0,8238096.0,7203648.0,7203888,480,11328384,720,7203648,480,11328384,7209696,480,480,480
31,480.0,480.0,3091008.0,8237856.0,7209696.0,7209696,480,11322576,480,7209936,720,11322336,7197600,480,480,480
32,480.0,480.0,3084960.0,8213664.0,7191552.0,7197600,720,11310240,480,7191552,480,11304192,7197600,720,480,720
33,480.0,6528.0,3084960.0,8237856.0,5729664.0,5711520,480,11310240,6528,5705472,480,11316528,5693616,480,720,6528
34,480.0,720.0,3091248.0,8231808.0,3085200.0,3091008,480,11328384,480,3091008,480,11334432,3091008,480,480,480
35,720.0,480.0,3084960.0,8238096.0,3091008.0,3085200,480,11316288,480,3084960,480,11310240,3084960,480,480,480
36,480.0,6528.0,3084960.0,5355208.0,3084960.0,3084960,480,8427832,6768,3085200,480,8415496,3084960,480,480,6528
37,480.0,480.0,3091008.0,3091008.0,3091008.0,3091008,720,6181536,480,3091008,720,6181536,3091008,720,480,480
38,480.0,6528.0,924704.0,3084960.0,3084960.0,3084960,480,4003136,6528,3084960,480,3991280,3091248,480,6528,720
39,480.0,6528.0,720.0,3072864.0,381144.0,374856,480,3072864,6528,368808,480,3072864,356712,480,720,6528
40,720.0,720.0,480.0,3097296.0,480.0,480,480,3097056,480,480,480,3103104,480,480,480,480
41,480.0,480.0,480.0,3084960.0,480.0,720,480,3091248,720,720,480,3084960,480,480,480,480
42,480.0,480.0,480.0,3097056.0,480.0,480,720,3091008,480,480,720,3091008,480,720,480,480
43,480.0,6528.0,480.0,898352.0,480.0,480,480,892304,6528,480,480,886496,720,6528,720,720
44,480.0,720.0,720.0,480.0,720.0,480,480,480,480,480,480,480,480,480,480,480
45,720.0,696000.0,480.0,720.0,480.0,720,480,480,690192,480,480,480,480,480,689952,480
46,480.0,1028640.0,480.0,480.0,480.0,480,480,720,1028640,720,720,480,480,480,1028640,480
47,480.0,1028640.0,480.0,480.0,480.0,480,720,480,1028640,480,480,480,480,720,1028640,720
48,480.0,1028640.0,720.0,480.0,480.0,480,480,480,1028640,480,760,720,720,480,1028880,480
49,720.0,1028880.0,480.0,480.0,720.0,480,480,480,1034688,480,480,480,480,480,1028640,480
50,480.0,1028640.0,480.0,720.0,683904.0,720,480,684144,1028880,480,480,689952,760,480,1028640,480
51,480.0,1028640.0,158008.0,480.0,1028640.0,480,720,1191936,1028920,720,720,1191936,480,480,1034688,480
52,480.0,1083072.0,1294752.0,480.0,1077024.0,480,480,2371296,1077024,480,480,2377584,720,720,1077024,720
53,760.0,980536.0,1966320.0,760.0,980256.0,760,480,2945856,980256,480,480,2939808,480,480,980496,480
54,480.0,1028880.0,2056800.0,480.0,1028880.0,480,480,3091008,1034688,480,480,3091008,480,480,1028640,480
55,720.0,1040736.0,2080992.0,720.0,1040736.0,720,480,3115200,1034928,480,480,3115200,480,480,1040736,760
56,480.0,1016544.0,2032608.0,980.0,1023092.0,980,980,3055460,1022592,1220,720,3061048,980,980,1017044,980
57,980.0,1035188.0,2069396.0,480.0,1028640.0,480,720,3097056,1029140,480,980,3097556,720,720,1034688,720
58,480.0,1022592.0,2050992.0,617376.0,1028640.0,480,480,3701856,1028640,480,480,3702096,480,480,1028880,480
59,720.0,1028880.0,2050752.0,950256.0,1028880.0,480,760,4022400,1028640,480,480,4022400,480,480,1022592,480
60,480.0,1034688.0,2068896.0,950016.0,1028640.0,720,480,4046872,1028880,480,480,4046592,480,480,1034688,480
61,480.0,1028640.0,2056800.0,950016.0,1034968.0,480,480,4040784,1034688,720,720,4034496,480,480,1028640,480
62,480.0,1028640.0,2056800.0,950016.0,1028640.0,480,720,4040544,1028640,480,480,4040544,720,720,1028640,720
63,480.0,1028640.0,2057040.0,943968.0,1028880.0,480,480,4022400,1028640,480,480,4034736,480,480,1028880,480
64,720.0,1034928.0,2062848.0,950256.0,1028640.0,480,480,4040544,1028640,760,480,4040544,480,480,1034968,480
65,480.0,1585056.0,2056800.0,950016.0,1028640.0,720,480,4034736,1579248,480,480,4034496,480,551128,1028640,480
66,480.0,1869312.0,2056800.0,950016.0,1028640.0,480,720,4040544,1875360,720,720,4028448,480,841392,1028640,480
67,480.0,1869312.0,2062848.0,943968.0,1028640.0,480,480,4034496,1869312,480,480,4040784,720,847200,1028640,720
68,480.0,1875360.0,2057040.0,950016.0,1028880.0,480,480,4034496,1869312,480,480,4034496,480,841152,1028880,480
69,720.0,1869552.0,2341056.0,950256.0,1034688.0,480,480,4336896,1881408,480,480,4336896,480,841152,1028640,480
70,480.0,1875360.0,4119168.0,950016.0,1028640.0,720,480,6085008,1869552,720,480,6090816,480,847200,1028640,480
71,480.0,1875360.0,4119168.0,950016.0,1028640.0,480,720,6090816,1875360,480,720,6096864,480,841392,1034688,480
72,480.0,1875360.0,3940016.0,943968.0,1028640.0,480,480,5929808,1875360,480,480,5905856,720,847200,1034688,720
73,480.0,1875360.0,3085200.0,950016.0,1028880.0,480,480,5062656,1869312,480,480,5068704,480,841152,1028880,480
