,1_port4,1_port1,1_port2,1_port3,2_port1,2_port2,3_port1,3_port2,4_port1,4_port2,5_port4,5_port1,5_port2,5_port3
0,11024.0,10904.0,10664.0,11384.0,10664.0,10664.0,10904.0,10664.0,10904.0,10904.0,11024.0,10904.0,10664.0,10744.0
1,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0
2,480.0,760.0,760.0,1000.0,1000.0,1000.0,480.0,1000.0,760.0,480.0,480.0,480.0,760.0,480.0
3,1000.0,480.0,720.0,480.0,480.0,480.0,760.0,480.0,480.0,760.0,760.0,760.0,720.0,1000.0
4,908.0,908.0,908.0,908.0,908.0,908.0,908.0,908.0,908.0,1148.0,1148.0,1148.0,908.0,908.0
5,480.0,720.0,480.0,480.0,480.0,480.0,720.0,480.0,720.0,480.0,480.0,480.0,480.0,480.0
6,480.0,480.0,480.0,956064.0,480.0,720.0,968160.0,720.0,480.0,480.0,480.0,980256.0,480.0,480.0
7,720.0,480.0,720.0,4125456.0,720.0,480.0,4125216.0,480.0,480.0,480.0,480.0,4119168.0,480.0,480.0
8,1179840.0,480.0,480.0,4125216.0,480.0,480.0,5316672.0,480.0,480.0,480.0,720.0,5328768.0,720.0,720.0
9,5135232.0,720.0,760.0,4107072.0,480.0,480.0,9235776.0,480.0,720.0,720.0,480.0,9242064.0,480.0,480.0
10,5141280.0,760.0,480.0,4113400.0,480.0,760.0,9266256.0,760.0,480.0,480.0,480.0,9266016.0,760.0,480.0
11,5213856.0,480.0,480.0,6441840.0,1000.0,720.0,11648928.0,720.0,760.0,760.0,760.0,11661024.0,480.0,480.0
12,5087796.0,908.0,1148.0,7119404.0,908.0,908.0,12212100.0,908.0,908.0,908.0,908.0,12200004.0,908.0,1428.0
13,6538368.0,480.0,480.0,7233888.0,480.0,480.0,13789920.0,480.0,480.0,480.0,720.0,13808304.0,720.0,480.0
14,11304192.0,720.0,480.0,7197600.0,480.0,480.0,18489216.0,480.0,720.0,720.0,480.0,18501312.0,480.0,480.0
