,1_port4,1_port1,1_port2,1_port3,2_port1,2_port2,3_port1,3_port2,4_port1,4_port2,5_port4,5_port1,5_port2,5_port3
0,11076.0,10716.0,10716.0,11076.0,10956.0,10716.0,10956.0,10956.0,10956.0,10956.0,11076.0,10716.0,10716.0,11316.0
1,908.0,908.0,908.0,908.0,908.0,908.0,908.0,908.0,908.0,908.0,1148.0,1148.0,1148.0,908.0
2,480.0,480.0,480.0,720.0,480.0,720.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0
3,1000.0,720.0,2214288.0,760.0,720.0,480.0,480.0,2208000.0,480.0,480.0,480.0,760.0,760.0,2195904.0
4,480.0,760.0,4119448.0,480.0,760.0,760.0,1000.0,4113640.0,760.0,1000.0,760.0,480.0,480.0,4113400.0
5,908.0,908.0,7034732.0,908.0,908.0,908.0,908.0,7028684.0,1148.0,908.0,2897900.0,908.0,1148.0,4119836.0
6,480.0,480.0,9259968.0,480.0,480.0,480.0,480.0,9253920.0,480.0,480.0,5141520.0,720.0,480.0,4119168.0
7,480.0,720.0,9508176.0,720.0,480.0,720.0,480.0,9495840.0,480.0,480.0,5359008.0,480.0,480.0,4131264.0
8,720.0,480.0,12320256.0,480.0,720.0,480.0,720.0,12320256.0,480.0,480.0,8213664.0,480.0,480.0,4107072.0
9,480.0,480.0,12350496.0,480.0,480.0,480.0,480.0,12350736.0,720.0,720.0,8231808.0,480.0,480.0,4113120.0
10,480.0,480.0,15809952.0,480.0,480.0,480.0,480.0,15803904.0,480.0,480.0,8244144.0,720.0,720.0,7548624.0
11,760.0,4954072.0,13383624.0,1000.0,480.0,4941936.0,480.0,13401768.0,480.0,4929600.0,8013000.0,760.0,760.0,10312320.0
12,720.0,5141520.0,10288368.0,6528.0,760.0,5141280.0,6528.0,10288128.0,480.0,5141280.0,5147608.0,6528.0,480.0,10282080.0
13,6956.0,5147756.0,8857468.0,908.0,1148.0,5148036.0,7196.0,8869804.0,1188.0,5148276.0,5147756.0,6956.0,908.0,8887988.0
14,480.0,5141280.0,4113400.0,480.0,480.0,5141280.0,760.0,4119448.0,720.0,5141280.0,5141280.0,480.0,720.0,4113360.0
15,6528.0,123168.0,1871040.0,6528.0,480.0,135264.0,12576.0,1877088.0,480.0,147360.0,159696.0,12816.0,480.0,1889184.0
16,480.0,480.0,720.0,720.0,480.0,720.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0
17,720.0,720.0,1149600.0,480.0,720.0,480.0,720.0,1149600.0,480.0,480.0,1143552.0,480.0,480.0,480.0
18,480.0,480.0,2062848.0,480.0,480.0,480.0,480.0,2057040.0,720.0,720.0,2056800.0,480.0,480.0,480.0
19,480.0,480.0,2056800.0,480.0,480.0,480.0,480.0,2056800.0,480.0,480.0,2057040.0,720.0,720.0,720.0
20,480.0,480.0,2056800.0,480.0,480.0,720.0,480.0,2056800.0,480.0,480.0,2062848.0,480.0,480.0,480.0
21,720.0,720.0,959672.0,6768.0,480.0,480.0,6528.0,965480.0,480.0,480.0,917096.0,6528.0,480.0,42816.0
22,480.0,480.0,841152.0,480.0,720.0,480.0,720.0,841392.0,480.0,720.0,480.0,480.0,480.0,847200.0
23,480.0,480.0,847200.0,480.0,480.0,480.0,480.0,841152.0,720.0,480.0,480.0,480.0,720.0,841392.0
24,480.0,480.0,841152.0,480.0,480.0,480.0,480.0,847200.0,480.0,480.0,720.0,720.0,480.0,841152.0
25,760.0,480.0,841392.0,720.0,480.0,720.0,480.0,841152.0,480.0,480.0,480.0,480.0,480.0,847200.0
26,720.0,720.0,847200.0,460408.0,720.0,480.0,466416.0,841152.0,480.0,480.0,480.0,466456.0,760.0,841152.0
27,480.0,760.0,841152.0,847200.0,480.0,480.0,841152.0,847440.0,720.0,720.0,480.0,841152.0,480.0,841152.0
28,480.0,480.0,847200.0,841152.0,760.0,480.0,841152.0,841152.0,480.0,480.0,480.0,847440.0,720.0,847440.0
29,908.0,908.0,841580.0,841580.0,908.0,1148.0,847628.0,847628.0,908.0,1188.0,1428.0,841580.0,908.0,841580.0
30,720.0,720.0,974448.0,847440.0,480.0,760.0,841152.0,968160.0,760.0,480.0,121440.0,847200.0,480.0,847200.0
31,480.0,480.0,3937728.0,841152.0,720.0,480.0,847440.0,3931920.0,480.0,480.0,3084960.0,841152.0,480.0,841432.0
32,480.0,480.0,3931680.0,956064.0,480.0,480.0,962112.0,3937728.0,720.0,720.0,3091008.0,968160.0,720.0,841392.0
33,480.0,480.0,5038744.0,3931680.0,480.0,480.0,3925912.0,5026368.0,480.0,480.0,4185936.0,3931920.0,480.0,847200.0
34,480.0,480.0,5988240.0,3925872.0,480.0,720.0,3931680.0,5988280.0,480.0,480.0,5147328.0,3925632.0,480.0,841152.0
35,720.0,720.0,5988000.0,3937728.0,720.0,480.0,3931680.0,5994048.0,480.0,480.0,5147328.0,3937728.0,480.0,847200.0
36,6528.0,480.0,3793264.0,3919584.0,480.0,480.0,3925872.0,3793504.0,720.0,720.0,2958640.0,3925632.0,480.0,841152.0
37,480.0,480.0,2897472.0,3931680.0,480.0,480.0,3937728.0,2903520.0,480.0,480.0,2056800.0,3931920.0,720.0,841392.0
38,480.0,480.0,2903520.0,1767184.0,480.0,720.0,1755088.0,2909568.0,480.0,480.0,2069136.0,1755088.0,480.0,847200.0
39,720.0,720.0,2909808.0,841392.0,480.0,480.0,847200.0,2903520.0,480.0,480.0,2056800.0,841152.0,480.0,841152.0
40,480.0,480.0,2897472.0,847200.0,720.0,480.0,841392.0,2897712.0,480.0,480.0,2056800.0,841152.0,480.0,841152.0
41,480.0,480.0,1803472.0,90120.0,480.0,480.0,90120.0,1803472.0,720.0,720.0,968848.0,90120.0,720.0,847440.0
42,480.0,480.0,841152.0,480.0,480.0,480.0,480.0,847200.0,480.0,480.0,720.0,720.0,480.0,841152.0
43,480.0,480.0,853488.0,720.0,480.0,720.0,480.0,853248.0,480.0,480.0,480.0,480.0,480.0,859296.0
44,720.0,720.0,835104.0,480.0,720.0,480.0,480.0,829056.0,480.0,480.0,480.0,480.0,480.0,829056.0
45,480.0,480.0,841152.0,480.0,480.0,480.0,720.0,847440.0,720.0,720.0,480.0,480.0,480.0,841152.0
46,480.0,480.0,299120.0,6528.0,480.0,480.0,6528.0,299120.0,480.0,480.0,480.0,6768.0,720.0,305408.0
47,480.0,480.0,480.0,480.0,480.0,720.0,480.0,480.0,480.0,480.0,720.0,480.0,480.0,480.0
48,480.0,720.0,3738384.0,720.0,480.0,480.0,480.0,3726048.0,480.0,480.0,480.0,480.0,480.0,3720000.0
49,720.0,480.0,4119168.0,480.0,720.0,480.0,720.0,4119408.0,480.0,480.0,480.0,480.0,480.0,4113120.0
50,480.0,480.0,8776128.0,480.0,480.0,480.0,480.0,8764032.0,720.0,720.0,4633248.0,480.0,480.0,4119408.0
51,480.0,480.0,9259968.0,480.0,480.0,480.0,480.0,9259968.0,480.0,480.0,5141520.0,720.0,720.0,4119168.0
52,480.0,480.0,10500048.0,720.0,480.0,720.0,480.0,10493760.0,480.0,480.0,6369024.0,480.0,480.0,4119168.0
53,720.0,720.0,12350496.0,480.0,720.0,480.0,480.0,12350496.0,480.0,480.0,8237856.0,480.0,480.0,4113120.0
54,760.0,480.0,12350496.0,480.0,480.0,480.0,720.0,12344688.0,480.0,720.0,8231808.0,480.0,480.0,4119168.0
55,480.0,480.0,17884416.0,480.0,480.0,480.0,480.0,17878368.0,720.0,480.0,8231808.0,720.0,720.0,9617040.0
56,480.0,4929600.0,12349416.0,6528.0,480.0,4917744.0,6528.0,12361512.0,480.0,4905408.0,6997176.0,6528.0,760.0,10294176.0
57,480.0,5147848.0,10294416.0,720.0,480.0,5147328.0,480.0,10294176.0,480.0,5147328.0,5147328.0,760.0,480.0,10294176.0
58,6768.0,5141280.0,6806768.0,760.0,720.0,5141280.0,6768.0,6825152.0,480.0,5141280.0,5141280.0,6528.0,480.0,6837008.0
59,6528.0,3564480.0,4119168.0,480.0,6528.0,3576576.0,480.0,4119168.0,6768.0,3588912.0,3600768.0,480.0,6528.0,4113360.0
60,480.0,480.0,359040.0,6528.0,480.0,480.0,6528.0,371136.0,480.0,480.0,720.0,6768.0,720.0,383232.0
61,908.0,908.0,908.0,1148.0,908.0,1148.0,908.0,908.0,908.0,908.0,908.0,908.0,908.0,908.0
62,720.0,720.0,563184.0,480.0,1000.0,480.0,480.0,562944.0,480.0,760.0,760.0,480.0,480.0,562944.0
63,480.0,480.0,635520.0,480.0,480.0,480.0,720.0,635760.0,480.0,720.0,480.0,480.0,480.0,629472.0
64,480.0,480.0,629472.0,480.0,480.0,480.0,480.0,629472.0,1000.0,480.0,480.0,720.0,720.0,635760.0
65,480.0,480.0,635520.0,480.0,480.0,1000.0,480.0,635520.0,480.0,480.0,720.0,480.0,480.0,629472.0
