,1_port4,1_port1,1_port2,1_port3,2_port1,2_port2,3_port1,3_port2,3_port3,4_port1,4_port2,5_port4,5_port1,5_port5,5_port2,5_port3,6_port1,6_port2
0,11104.0,10664.0,10904.0,11384.0,10544.0,10904.0,10664.0,10664.0,10664.0,10904.0,10904.0,11384.0,10904.0,10744.0,10664.0,10664.0,10904.0,10904.0
1,480.0,480.0,480.0,480.0,480.0,480.0,480.0,720.0,720.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0
2,760.0,760.0,760.0,760.0,760.0,480.0,1000.0,480.0,760.0,480.0,480.0,760.0,480.0,760.0,720.0,720.0,760.0,760.0
3,908.0,480.0,480.0,1148.0,908.0,760.0,480.0,760.0,480.0,760.0,760.0,720.0,760.0,1148.0,760.0,760.0,480.0,480.0
4,720.0,1148.0,908.0,480.0,480.0,908.0,908.0,908.0,908.0,908.0,908.0,908.0,1148.0,480.0,908.0,908.0,908.0,1148.0
5,480.0,480.0,2840.0,3925632.0,480.0,480.0,3931680.0,2840.0,480.0,480.0,720.0,2840.0,3943776.0,480.0,480.0,480.0,720.0,480.0
6,18624.0,480.0,5440.0,4203840.0,720.0,480.0,4258272.0,5200.0,480.0,480.0,480.0,5200.0,4282464.0,480.0,480.0,480.0,480.0,480.0
7,5020320.0,480.0,7560.0,4010304.0,480.0,720.0,9005952.0,7560.0,480.0,720.0,480.0,5200.0,8999904.0,2840.0,480.0,480.0,480.0,480.0
8,5135232.0,480.0,9920.0,4101024.0,480.0,480.0,9235776.0,10160.0,1000.0,480.0,480.0,5200.0,9229728.0,5200.0,480.0,480.0,480.0,480.0
9,5147608.0,480.0,17280.0,5643544.0,480.0,480.0,10796400.0,17000.0,480.0,480.0,480.0,5200.0,10802208.0,12560.0,720.0,720.0,480.0,480.0
10,5135232.0,760.0,14640.0,7185744.0,760.0,480.0,12326584.0,14640.0,480.0,480.0,480.0,5720.0,12326304.0,10160.0,480.0,480.0,760.0,760.0
11,5129852.0,720.0,14640.0,7173836.0,908.0,480.0,12314208.0,14640.0,480.0,480.0,480.0,5200.0,12314448.0,10348.0,480.0,480.0,480.0,480.0
12,5201760.0,908.0,17428.0,7276224.0,480.0,1188.0,12483980.0,17708.0,908.0,1188.0,1428.0,5628.0,12496356.0,12280.0,1188.0,1188.0,1148.0,1148.0
13,10094592.0,480.0,14880.0,5593800.0,720.0,480.0,15669768.0,14640.0,480.0,480.0,480.0,7560.0,15663720.0,7560.0,480.0,480.0,480.0,480.0
14,10221600.0,2840.0,12280.0,4101024.0,4723968.0,3080.0,9622848.0,12280.0,720.0,4736304.0,2840.0,9920.0,9610752.0,5200.0,4748160.0,480.0,480.0,480.0
15,10282080.0,5200.0,9920.0,4113120.0,5141280.0,5200.0,9254160.0,10160.0,480.0,5141280.0,5200.0,9920.0,9247872.0,5200.0,5141280.0,720.0,480.0,480.0
16,4212304.0,5200.0,9920.0,4094976.0,3141120.0,5200.0,5141968.0,9920.0,480.0,3129024.0,5200.0,10160.0,5129872.0,5440.0,3117168.0,480.0,480.0,480.0
17,6528.0,3080.0,2840.0,171792.0,6528.0,2840.0,159456.0,2840.0,480.0,6528.0,2840.0,2840.0,153408.0,2840.0,6528.0,480.0,480.0,480.0
18,720.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,720.0,480.0,480.0,480.0,480.0,720.0
