,1_port4,1_port1,1_port2,1_port3,2_port1,2_port2,3_port1,3_port2,3_port3,4_port1,4_port2,5_port4,5_port1,5_port5,5_port2,5_port3,6_port1,6_port2
0,11076.0,10716.0,10716.0,11076.0,10716.0,10716.0,10956.0,10716.0,10956.0,10716.0,10716.0,11436.0,10716.0,11436.0,10956.0,10956.0,10716.0,10716.0
1,908.0,908.0,908.0,1148.0,720.0,1148.0,480.0,908.0,480.0,908.0,908.0,908.0,720.0,480.0,480.0,908.0,480.0,908.0
2,720.0,720.0,720.0,480.0,908.0,480.0,908.0,480.0,908.0,480.0,480.0,480.0,908.0,908.0,908.0,480.0,908.0,480.0
3,760.0,480.0,1566912.0,760.0,480.0,480.0,480.0,1560864.0,480.0,480.0,720.0,1554816.0,480.0,480.0,480.0,480.0,720.0,720.0
4,480.0,760.0,3091288.0,480.0,760.0,760.0,760.0,3085480.0,760.0,1000.0,480.0,3085240.0,760.0,720.0,760.0,760.0,760.0,760.0
5,908.0,908.0,3085388.0,908.0,480.0,908.0,720.0,3091436.0,720.0,908.0,1188.0,3085628.0,480.0,760.0,480.0,908.0,480.0,908.0
6,480.0,480.0,3139392.0,480.0,1148.0,720.0,908.0,3133344.0,908.0,480.0,480.0,3115200.0,908.0,6956.0,1148.0,720.0,908.0,480.0
7,480.0,480.0,7155504.0,720.0,480.0,480.0,480.0,7143168.0,480.0,480.0,480.0,3066816.0,720.0,4088928.0,480.0,480.0,480.0,480.0
8,720.0,720.0,7264128.0,480.0,480.0,480.0,480.0,7264128.0,480.0,480.0,480.0,3115200.0,480.0,4149408.0,480.0,480.0,480.0,720.0
9,480.0,480.0,10282080.0,480.0,480.0,480.0,480.0,10276032.0,480.0,720.0,720.0,6157344.0,480.0,4113120.0,480.0,480.0,720.0,480.0
10,760.0,480.0,14310048.0,760.0,480.0,480.0,480.0,14304240.0,480.0,480.0,480.0,6139440.0,480.0,8147376.0,480.0,480.0,480.0,480.0
11,480.0,480.0,15961152.0,480.0,480.0,480.0,1000.0,15949056.0,720.0,760.0,480.0,7705632.0,480.0,8237856.0,720.0,760.0,480.0,480.0
12,6528.0,3629280.0,13374376.0,480.0,760.0,3617184.0,6528.0,13398568.0,760.0,480.0,3605088.0,8783944.0,6528.0,8225760.0,480.0,720.0,480.0,480.0
13,908.0,4113828.0,10277428.0,908.0,908.0,4119876.0,668.0,10277428.0,240.0,908.0,4119596.0,6169628.0,760.0,8225760.0,520.0,668.0,480.0,908.0
14,12576.0,4071992.0,1484136.0,6528.0,480.0,4078040.0,18864.0,1508328.0,1148.0,480.0,4090416.0,1508848.0,19052.0,4115444.0,1148.0,480.0,1188.0,760.0
15,480.0,480.0,480.0,6528.0,6768.0,720.0,480.0,480.0,480.0,6528.0,480.0,480.0,480.0,760.0,6528.0,720.0,480.0,480.0
16,480.0,480.0,480.0,720.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,720.0,480.0,480.0,480.0,480.0,480.0
17,720.0,720.0,720.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,720.0
18,496416.0,480.0,480.0,937920.0,480.0,480.0,1439904.0,480.0,480.0,720.0,720.0,480.0,1445952.0,480.0,480.0,480.0,720.0,480.0
19,1034688.0,480.0,480.0,950016.0,480.0,480.0,1978176.0,720.0,480.0,480.0,480.0,720.0,1972128.0,720.0,480.0,480.0,480.0,480.0
20,1028640.0,480.0,480.0,943968.0,480.0,480.0,1978416.0,480.0,720.0,480.0,480.0,480.0,1984224.0,480.0,720.0,480.0,480.0,480.0
21,1028640.0,480.0,480.0,950016.0,720.0,720.0,1978176.0,480.0,480.0,480.0,480.0,480.0,1978176.0,480.0,480.0,720.0,480.0,480.0
22,1028640.0,480.0,720.0,950256.0,480.0,480.0,1984224.0,480.0,480.0,480.0,480.0,480.0,1978416.0,480.0,480.0,480.0,480.0,480.0
23,1028880.0,720.0,480.0,950016.0,480.0,480.0,1978176.0,480.0,480.0,480.0,480.0,480.0,1978176.0,480.0,480.0,480.0,480.0,720.0
24,1028640.0,480.0,480.0,950016.0,480.0,480.0,1972128.0,480.0,480.0,720.0,720.0,480.0,1978176.0,480.0,480.0,480.0,720.0,480.0
25,1034968.0,480.0,726240.0,1397848.0,480.0,480.0,2432056.0,726480.0,480.0,480.0,480.0,720.0,2425728.0,720432.0,480.0,480.0,480.0,480.0
26,1028640.0,480.0,3744192.0,1893504.0,480.0,480.0,2921904.0,3738144.0,720.0,480.0,480.0,480.0,2933760.0,3732096.0,720.0,760.0,480.0,480.0
27,1028640.0,480.0,3822816.0,1899552.0,720.0,720.0,2927712.0,3816768.0,480.0,760.0,480.0,480.0,2927712.0,3822816.0,480.0,720.0,480.0,480.0
28,1028640.0,480.0,3829104.0,1899792.0,760.0,480.0,2921664.0,3828864.0,760.0,480.0,480.0,480.0,2927952.0,3822816.0,480.0,480.0,480.0,480.0
29,1029308.0,1428.0,3829572.0,1899980.0,908.0,908.0,2934188.0,3829292.0,480.0,908.0,908.0,908.0,2921664.0,3828864.0,480.0,908.0,480.0,908.0
30,531624.0,480.0,4645344.0,1893504.0,480.0,760.0,2424648.0,4645624.0,908.0,480.0,720.0,816960.0,2419308.0,3829292.0,1188.0,480.0,1148.0,720.0
31,480.0,480.0,4736064.0,1923744.0,480.0,480.0,1923744.0,4742352.0,480.0,720.0,480.0,853528.0,1929792.0,3883536.0,480.0,480.0,760.0,480.0
32,6528.0,480.0,3649712.0,1869312.0,480.0,480.0,1875600.0,3649712.0,720.0,480.0,760.0,829296.0,1875360.0,2833232.0,480.0,480.0,480.0,760.0
