,1_port_1,1_port_2,1_port_3,1_port_4,1_port_5,2_port_1,2_port_2,2_port_3,2_port_4,2_port_5,3_port_1,3_port_2,3_port_3,3_port_4,3_port_5,4_port_1,4_port_2,4_port_3,4_port_4,4_port_5,5_port_1,5_port_2,5_port_3,5_port_4,5_port_5
0,10424.0,10664.0,11144.0,11144.0,10784.0,10664.0,10664.0,11144.0,11144.0,10784.0,10424.0,10424.0,11144.0,11144.0,10784.0,10424.0,10664.0,11144.0,11144.0,10784.0,10664.0,10664.0,11384.0,11040.0,11024.0
1,720.0,480.0,720.0,480.0,720.0,480.0,480.0,720.0,480.0,720.0,480.0,480.0,720.0,480.0,720.0,720.0,480.0,720.0,480.0,720.0,480.0,480.0,480.0,480.0,480.0
2,760.0,720.0,480.0,720.0,480.0,480.0,480.0,480.0,720.0,480.0,720.0,1000.0,480.0,720.0,480.0,480.0,760.0,480.0,720.0,480.0,480.0,480.0,480.0,480.0,760.0
3,480.0,760.0,760.0,760.0,760.0,760.0,1000.0,760.0,760.0,760.0,760.0,480.0,760.0,760.0,760.0,760.0,480.0,760.0,760.0,760.0,1000.0,1000.0,480.0,760.0,480.0
4,908.0,908.0,908.0,908.0,908.0,1148.0,908.0,908.0,908.0,908.0,908.0,908.0,908.0,908.0,908.0,908.0,908.0,908.0,908.0,908.0,908.0,908.0,1428.0,908.0,1148.0
5,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,720.0,720.0,480.0,480.0,480.0,480.0,480.0,480.0,720.0,480.0
6,720.0,480.0,720.0,720.0,720.0,480.0,480.0,720.0,720.0,720.0,480.0,480.0,720.0,720.0,720.0,480.0,480.0,720.0,720.0,720.0,480.0,480.0,480.0,480.0,480.0
7,480.0,720.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,720.0,720.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,720.0,480.0,480.0,480.0,480.0
8,480.0,480.0,480.0,480.0,187968.0,480.0,480.0,480.0,480.0,187968.0,194016.0,480.0,480.0,480.0,187968.0,480.0,480.0,480.0,480.0,187968.0,199824.0,480.0,480.0,480.0,480.0
9,480.0,480.0,480.0,480.0,2056800.0,480.0,480.0,480.0,480.0,2056800.0,2056800.0,480.0,480.0,480.0,2056800.0,480.0,480.0,480.0,480.0,2056800.0,2057040.0,720.0,480.0,480.0,480.0
10,760.0,480.0,480.0,480.0,3853056.0,1000.0,720.0,480.0,480.0,3853056.0,3853056.0,760.0,480.0,480.0,3853056.0,480.0,760.0,480.0,480.0,3853056.0,3859104.0,480.0,720.0,480.0,760.0
11,480.0,480.0,760.0,480.0,5486016.0,480.0,480.0,760.0,480.0,5486016.0,5498112.0,480.0,760.0,480.0,5486016.0,1000.0,720.0,760.0,480.0,5486016.0,5516256.0,480.0,480.0,720.0,720.0
12,1148.0,1188.0,1148.0,1188.0,9248820.0,908.0,1188.0,1148.0,1188.0,9248820.0,9254628.0,908.0,1148.0,1188.0,9248820.0,908.0,908.0,1148.0,1188.0,9248820.0,9248580.0,908.0,908.0,1188.0,908.0
